Primary Key,Tech ID,Internal ID,Patent Number,Serial Number,Docket No.,Application Type,Title,File Date,Priority Date,Expire Date,Issue Date,Nationalized Date,Publication Date,Status,Lead Inventor,Country,Lawfirm,Attorney,Legal Reference Number,Ext. Attorney Matter Number,Country WIPO ID,Date Actually Filed,Examiner,Inventors,IP Manager,Licensing Manager,CPA Reason For Stopping,CPA Renewal Type Codes,CPA Start Pay Date,CPA Stop Pay Date,CPI Case Types,CPI Start Pay Date,CPI Stop Pay Date,PCT Bar Date,PCT Filing Date,Priority Application Number,US Bar Date
611645,90-T-031,0328-022,686112,48509/93,0328-022,Nationalized PCT,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/21/1998,,,Expired - Inactive,Ralph Weichselbaum,Australia,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00135,AU,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611646,90-T-031,0328-023,"2,144,406","2,144,406",0328-023,Nationalized PCT,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,1/6/2009,,,Expired - Inactive,Ralph Weichselbaum,Canada,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00136,CA,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611647,90-T-031,0328-024,662137,93921410.2EPO,0328-024,Nationalized PCT,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,European Patent Office (EPO),"Valauskas Corder, LLC","Fahrlander, Jill", ,1370.00137,EP,, ,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611648,90-T-031,0328-025,,508137/94,0328-025,Nationalized PCT,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,,,2/20/1996,Abandoned,Ralph Weichselbaum,Japan,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00153,JP,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611649,90-T-031,0328-026,E 295 889,93921410.2AT,0328-026,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,6/26/2006,Expired - Inactive,Ralph Weichselbaum,Austria,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00138,AT,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611650,90-T-031,0328-027,662137,93921410.2BE,0328-027,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Belgium,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00139,BE,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611651,90-T-031,0328-028,662137,93921410.2CH,0328-028,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Switzerland,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00140,CH,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611652,90-T-031,0328-029,69333815.6,93921410.2DE,0328-029,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Germany,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00141,DE,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611653,90-T-031,0328-030,662137,93921410.2DK,0328-030,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Denmark,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00142,DK,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611654,90-T-031,0328-031,662137,93921410.2ES,0328-031,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Spain,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00143,ES,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611655,90-T-031,0328-032,662137,93921410.2FR,0328-032,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,France,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00144,FR,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611656,90-T-031,0328-033,662137,93921410.2GB,0328-033,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,United Kingdom,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00145,GB,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611657,90-T-031,0328-034,20050402281,3054313,0328-034,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Greece,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00154,GR,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611658,90-T-031,0328-035,662137,93921410.2IE,0328-035,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Ireland,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00146,IE,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611659,90-T-031,0328-036,662137,93921410.2IT,0328-036,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Italy,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00147,IT,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611660,90-T-031,0328-037,662137,93921410.2LU,0328-037,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Luxembourg,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00148,LU,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611661,90-T-031,0328-038,662137,93921410.2MC,0328-038,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Monaco,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00149,MC,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611662,90-T-031,0328-039,662137,93921410.2NL,0328-039,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Netherlands,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00150,NL,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611663,90-T-031,0328-040,662137,93921410.2PT,0328-040,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Portugal,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00151,PT,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611664,90-T-031,0328-041,662137,93921410.2SE,0328-041,Validated EPO,Gene Transcription and Ioninzing Radiation - Methods and Compositions,9/8/1993,9/11/1992,9/8/2013,5/18/2005,,12/7/1995,Expired - Inactive,Ralph Weichselbaum,Sweden,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00152,SE,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,9/8/1993,"07/943,812",
611299,90-T-031,0328-042,"5,612,318","08/212,308",0328-042,Continuation,Control of Gene Expression by Ionizing Radiation,3/14/1994,12/20/1990,3/18/2014,3/18/1997,,,Expired - Inactive,Ralph Weichselbaum,*United States,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00112,US,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/633,626",
611666,90-T-031,0328-043,"5,770,581","08/474,445",0328-043,Divisional,Gene Transcription and Ionizing Radiation: Methods and Compositions,6/7/1995,12/20/1990,6/23/2015,6/23/1998,,,Expired - Inactive,Ralph Weichselbaum,*United States,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00114,US,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/633,626",
611300,90-T-031,0328-044,"5,817,636","08/486,338",0328-044,Continuation,Control of Gene Expression by Ionizing Radiation,6/7/1995,12/20/1990,10/6/2015,10/6/1998,,,Expired - Inactive,Ralph Weichselbaum,*United States,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00113,US,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/633,626",
611667,90-T-031,0328-045,"6,156,736","09/102,997",0328-045,Continuation,Gene Transcription and Ionizing Radiation: Methods and Compositions,6/22/1998,12/20/1990,12/20/2010,12/5/2000,,,Expired - Inactive,Ralph Weichselbaum,*United States,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00115,US,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/633,626",
611669,90-T-031,0328-046,"7,041,653","09/730,630",0328-046,Continuation,Gene Transcription and Ionizing Radiation:Methods and Compositions,12/5/2000,12/20/1990,12/20/2010,5/9/2006,,7/5/2001,Expired - Inactive,Ralph Weichselbaum,*United States,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00116,US,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/633,626",
611668,90-T-031,0328-047,,"11/257,553",0328-047,Divisional,Gene Transcription and Ionizing Radiation: Methods and Compositions,10/25/2005,12/20/1990,12/20/2010,,,3/16/2006,Abandoned,Ralph Weichselbaum,*United States,"Valauskas Corder, LLC","Fahrlander, Jill",,1370.00117,US,,,"Dennis Hallahan, Donald Kufe, Vikas Sukhatme, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/633,626",
612355,90-T-040,0330-001,,"07/573,800",0330-001,US Utility,Method and System for Differential Diagnosis Based on Clinical and Radiological Information Using Artificial Neural Networks,8/28/1990,8/28/1990,,,,,Abandoned,Kunio Doi,*United States,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard",,,US,,,Kunio Doi,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"07/573,800",
612356,90-T-040,0330-002,"5,463,548","08/053,345",0330-002,Continuation,Method and System for Differential Diagnosis Based on Clinical and Radiological Information Using Artificial Neural Networks,4/28/1993,8/28/1990,10/31/2012,10/31/1995,,,Expired - Inactive,Kunio Doi,*United States,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard",,141436 US,US,,,"Naoki Asada, Kunio Doi","Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"07/573,800",
612357,90-T-040,0330-003,"5,622,171","08/422,172",0330-003,Continuation,Method and System for Differential Diagnosis Based on Clinical and Radiological Information Using Artificial Neural Networks,4/14/1995,8/28/1990,4/22/2014,4/22/1997,,,Expired - Inactive,Kunio Doi,*United States,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard",,141447 US,US,,,"Naoki Asada, Kunio Doi","Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"07/573,800",
612358,90-T-040,0330-004,3231810,217518/91,0330-004,"Foreign, Non-PCT",Method and System for Differential Diagnosis Based on Clinical and Radiological Information Using Artificial Neural Networks,8/28/1991,8/28/1990,9/14/2021,9/14/2001,,,Abandoned,Kunio Doi,Japan,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard",,141436 JP,JP,,,Kunio Doi,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"07/573,800",
612863,91-T-007,0331-001,"6,025,126","07/784,222",0331-001,US Utility,Methods and Compositions for the Detection of Chromosomal Aberrations,10/28/1991,10/28/1991,2/15/2017,2/15/2000,,,Abandoned,Carol Westbrook,*United States,Barnes & Thornburg,"Martin, Alice",,21459-94335,US,,,Carol Westbrook,"Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/784,222",
611347,91-T-007,0331-002,,"08/466,781",0331-002,Continuation,Cosmid C-Hu-ABL (Chromosomal Aberrations),6/6/1995,10/28/1991,,,,,Abandoned,Carol Westbrook,*United States,"Marshall, Gerstein & Borun","Rasheed, Nabeela",,ARCD 010,US,,,Carol Westbrook,"Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/784,222",
612864,91-T-007,0331-003,"6,576,421","09/502,954",0331-003,Continuation,Methods and Compositions for the Detection of Chromosomal Aberrations,2/11/2000,10/28/1991,6/10/2020,6/10/2003,,,Expired - Inactive,Carol Westbrook,*United States,Barnes & Thornburg,"Martin, Alice",,21459-91868,US,,,Carol Westbrook,"Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/784,222",
612865,91-T-007,0331-004,,"10/236,880",0331-004,Continuation,Methods and compositions for the detection of chromosomal aberrations,9/6/2002,10/28/1991,10/28/2011,,,5/29/2003,Abandoned,Carol Westbrook,*United States,Barnes & Thornburg,"Martin, Alice",,21459-93826,US,,,Carol Westbrook,"Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/784,222",
610890,91-T-007,0331-005,"8,415,464","09/765,291",0331-005,Divisional,Chromosome-specific Staining to Detect Genetic Rearrangements,1/22/2001,6/12/1990,10/18/2016,4/9/2013,,,Expired - Inactive,Carol Westbrook,*United States,Barnes & Thornburg,,,21459-120100,US,,,"Joe Gray, Daniel Pinkel, Douglas Tkachuk, Carol Westbrook","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"08/487,974",
612881,91-T-011,0335-001,,"07/705,814",0335-001,US Utility,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/24/1991,5/24/1991,,,,,Abandoned,Bernard Roizman,*United States,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0019,US,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612882,91-T-011,0335-002,"5,478,727","07/832,855",0335-002,Continuation in Part,Methods and Compositions for the Preparation and Use of a Herpes Protease,2/7/1992,5/24/1991,12/26/2012,12/26/1995,,,Abandoned,Bernard Roizman,*United States,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045,US,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612883,91-T-011,0335-003,242739,242739,0335-003,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,5/14/1992,5/24/1991,5/14/2012,12/22/1994,,12/22/1994,Abandoned,Bernard Roizman,New Zealand,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045NZ,NZ,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612884,91-T-011,0335-004,514830,92108420.8EPO,0335-004,Nationalized PCT,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,,,,Abandoned,Bernard Roizman,European Patent Office (EPO),Norton Rose Fulbright US LLP,"Parker, David", ,ARCD.P0045E,EP,, ,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612885,91-T-011,0335-005,514830,92108420.8AT,0335-005,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/3/2000,,,Abandoned,Bernard Roizman,Austria,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EAT,AT,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612886,91-T-011,0335-006,514830,92108420.8BE,0335-006,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/3/2000,,,Abandoned,Bernard Roizman,Belgium,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EBE,BE,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612887,91-T-011,0335-007,514830,92108420.8CH,0335-007,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/3/2000,,,Abandoned,Bernard Roizman,Switzerland,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045ECH,CH,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612888,91-T-011,0335-008,69230984.5,92108420.8DE,0335-008,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/3/2000,,,Abandoned,Bernard Roizman,Germany,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EDE,DE,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612889,91-T-011,0335-009,92108420.8,92108420.8ES,0335-009,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/19/2001,,,Abandoned,Bernard Roizman,Spain,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EES,ES,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612890,91-T-011,0335-010,514830,92108420.8FR,0335-010,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/19/2001,,,Abandoned,Bernard Roizman,France,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EFR,FR,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612891,91-T-011,0335-011,514830,92108420.8GB,0335-011,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,3/25/1999,,,Abandoned,Bernard Roizman,United Kingdom,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EGB,GB,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612892,91-T-011,0335-012,514830,92108420.8IT,0335-012,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,5/19/2001,,,Abandoned,Bernard Roizman,Italy,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045EIT,IT,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
611756,91-T-011,0335-013,514830,92108420.8MC,0335-013,Validated EPO,Herpes Protease,5/19/1992,5/24/1991,5/19/2012,,,,Abandoned,Bernard Roizman,Monaco,Norton Rose Fulbright US LLP,"Parker, David",,,MC,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612833,91-T-011,0335-014,104427,00922271.0FI,0335-014,Validated EPO,Methods and Compositions for Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,1/31/2000,,,Abandoned,Bernard Roizman,Finland,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045FI,FI,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612893,91-T-011,0335-015,1992/3689,1992/3689,0335-015,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,5/21/1992,5/24/1991,5/21/2012,1/27/1993,,,Abandoned,Bernard Roizman,South Africa,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045ZA,ZA,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612894,91-T-011,0335-016,303645,922029.0,0335-016,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,5/22/1992,5/24/1991,5/22/2012,8/10/1998,,,Abandoned,Bernard Roizman,Norway,Norton Rose Fulbright US LLP,"Parker, David", ,ARCD.P0045NO,NO,, ,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612895,91-T-011,0335-017,"2,069,460","2,069,460",0335-017,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,5/22/1992,5/24/1991,5/22/2012,12/31/2002,,11/25/1992,Abandoned,Bernard Roizman,Canada,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045CA,CA,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612896,91-T-011,0335-018,101975,P9201723,0335-018,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/22/1992,5/24/1991,5/22/2012,11/17/1998,,,Abandoned,Bernard Roizman,Israel,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045IL,IL,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612897,91-T-011,0335-019,2166622,92108420.8HU,0335-019,Validated EPO,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/22/1992,5/24/1991,5/22/2012,6/28/1994,,,Abandoned,Bernard Roizman,Hungary,Norton Rose Fulbright US LLP,,,ARCD.P0045HU,HU,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612898,91-T-011,0335-020,"666,305",17112/92,0335-020,Nationalized PCT,Methods and Compositions for the Preparation and Use of a Herpes Protease,5/22/1992,5/24/1991,5/22/2012,6/25/1996,,,Abandoned,Bernard Roizman,Australia,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045AU,AU,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612899,91-T-011,0335-021,245318,928766.0,0335-021,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,5/23/1992,5/24/1991,5/23/2012,11/29/1999,,,Abandoned,Bernard Roizman,"Korea, Republic of",Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045KR,KR,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612900,91-T-011,0335-022,3355202,175901/92,0335-022,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,5/25/1992,5/24/1991,5/25/2012,9/27/2002,,,Abandoned,Bernard Roizman,Japan,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045JP,JP,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612901,91-T-011,0335-023,083278,1992/1656,0335-023,"Foreign, Non-PCT",Methods and Compositions for the Preparation and Use of a Herpes Protease,7/1/1992,5/24/1991,7/1/2012,12/30/2003,,,Abandoned,Bernard Roizman,Ireland,Norton Rose Fulbright US LLP,"Parker, David", ,ARCD.P0045IE,IE,, ,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612902,91-T-011,0335-024,"6,410,704","08/176,320",0335-024,Continuation,Methods and Compositions for the Preparation and Use of a Herpes Protease,1/3/1994,5/24/1991,6/25/2019,6/25/2002,,,Abandoned,Bernard Roizman,*United States,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0118,US,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
614137,91-T-011,0335-025,,"08/447,804",0335-025,Divisional,Preparation and Use of a Herpes Protease,5/23/1995,5/24/1991,,,,,Abandoned,Bernard Roizman,*United States,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0176,US,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
612834,91-T-011,0335-027,104427,DUP 00922271.0FI,0335-027,Validated EPO,Methods and Compositions for Preparation and Use of a Herpes Protease,5/19/1992,5/24/1991,5/19/2012,1/31/2000,,,Abandoned,Bernard Roizman,Finland,Norton Rose Fulbright US LLP,"Parker, David",,ARCD.P0045FI,FI,,,"Fenyong Lui, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"07/705,814",
